Age,Embarked,Fare,PassengerId,Pclass,Sex,Survived,Con_Cabina,TamanioFamilia,Titulo
3,0,3,276,1,0,1.0,1,2,2
2,0,0,277,3,0,0.0,0,1,2
1,0,0,278,2,1,0.0,0,1,1
0,2,2,279,3,1,0.0,0,6,4
2,0,2,280,3,0,1.0,0,3,3
4,2,0,281,3,1,0.0,0,1,1
1,0,0,282,3,1,0.0,0,1,1
0,0,1,283,3,1,0.0,0,1,1
1,0,1,284,3,1,1.0,0,1,1
2,0,2,285,1,1,0.0,1,1,1
2,1,1,286,3,1,0.0,0,1,1
1,0,1,287,3,1,1.0,0,1,1
1,0,0,288,3,1,0.0,0,1,1
2,0,1,289,2,1,1.0,0,1,1
1,2,0,290,3,0,1.0,0,1,2
1,0,3,291,1,0,1.0,0,1,2
1,1,3,292,1,0,1.0,1,2,3
2,1,1,293,2,1,0.0,1,1,1
1,0,1,294,3,0,0.0,0,1,2
1,0,0,295,3,1,0.0,0,1,1
2,1,2,296,1,1,0.0,0,1,1
1,1,0,297,3,1,0.0,0,1,1
0,0,3,298,1,0,0.0,1,4,2
1,0,2,299,1,1,1.0,1,1,1
3,1,3,300,1,0,1.0,1,2,3
1,2,0,301,3,0,1.0,0,1,2
2,2,2,302,3,1,1.0,0,3,1
1,0,0,303,3,1,0.0,0,1,1
1,2,1,304,2,0,1.0,1,1,2
2,0,1,305,3,1,0.0,0,1,1
0,0,3,306,1,1,1.0,1,4,4
1,1,3,307,1,0,1.0,0,1,2
1,1,3,308,1,0,1.0,1,2,3
1,1,2,309,2,1,0.0,0,2,1
1,1,3,310,1,0,1.0,1,1,2
1,1,3,311,1,0,1.0,1,1,2
1,1,3,312,1,0,1.0,1,5,2
1,0,2,313,2,0,0.0,0,3,3
1,0,0,314,3,1,0.0,0,1,1
2,0,2,315,2,1,0.0,0,3,1
1,0,0,316,3,0,1.0,0,1,2
1,0,2,317,2,0,1.0,0,2,3
3,0,1,318,2,1,0.0,0,1,5
1,0,3,319,1,0,1.0,1,3,2
2,1,3,320,1,0,1.0,1,3,3
1,0,0,321,3,1,0.0,0,1,1
1,0,0,322,3,1,0.0,0,1,1
1,2,1,323,2,0,1.0,0,1,2
1,0,2,324,2,0,1.0,0,3,3
1,0,3,325,3,1,0.0,0,11,1
2,1,3,326,1,0,1.0,1,1,2
3,0,0,327,3,1,0.0,0,1,1
2,0,1,328,2,0,1.0,1,1,3
1,0,2,329,3,0,1.0,0,3,3
0,1,3,330,1,0,1.0,1,2,2
1,2,2,331,3,0,1.0,0,3,2
2,0,2,332,1,1,0.0,1,1,1
2,0,3,333,1,1,0.0,1,2,1
0,0,2,334,3,1,0.0,0,3,1
1,0,3,335,1,0,1.0,0,2,3
2,0,0,336,3,1,0.0,0,1,1
1,0,3,337,1,1,0.0,1,2,1
2,1,3,338,1,0,1.0,1,1,2
2,0,1,339,3,1,1.0,0,1,1
2,0,3,340,1,1,0.0,1,1,1
0,0,2,341,2,1,1.0,1,3,4
1,0,3,342,1,0,1.0,1,6,2
1,0,1,343,2,1,0.0,0,1,1
1,0,1,344,2,1,0.0,0,1,1
2,0,1,345,2,1,0.0,0,1,1
1,0,1,346,2,0,1.0,1,1,2
2,0,1,347,2,0,1.0,0,1,2
1,0,2,348,3,0,1.0,0,2,3
0,0,2,349,3,1,1.0,0,3,4
2,0,1,350,3,1,0.0,0,1,1
1,0,1,351,3,1,0.0,0,1,1
1,0,3,352,1,1,0.0,1,1,1
0,1,0,353,3,1,0.0,0,3,1
1,0,2,354,3,1,0.0,0,2,1
1,1,0,355,3,1,0.0,0,1,1
1,0,1,356,3,1,0.0,0,1,1
1,0,3,357,1,0,1.0,1,2,2
2,0,1,358,2,0,0.0,0,1,2
2,2,0,359,3,0,1.0,0,1,2
2,2,0,360,3,0,1.0,0,1,2
2,0,2,361,3,1,0.0,0,6,1
1,1,2,362,2,1,0.0,0,2,1
2,1,2,363,3,0,0.0,0,2,3
2,0,0,364,3,1,0.0,0,1,1
2,2,2,365,3,1,0.0,0,2,1
1,0,0,366,3,1,0.0,0,1,1
3,1,3,367,1,0,1.0,1,2,3
1,1,0,368,3,0,1.0,0,1,3
2,2,0,369,3,0,1.0,0,1,2
1,1,3,370,1,0,1.0,1,1,3
1,1,3,371,1,1,1.0,1,2,1
1,0,0,372,3,1,0.0,0,2,1
1,0,1,373,3,1,0.0,0,1,1
1,1,3,374,1,1,0.0,0,1,1
0,0,2,375,3,0,0.0,0,5,2
1,1,3,376,1,0,1.0,0,2,3
1,0,0,377,3,0,1.0,0,1,2
1,1,3,378,1,1,0.0,1,3,1
1,1,0,379,3,1,0.0,0,1,1
1,0,0,380,3,1,0.0,0,1,1
2,1,3,381,1,0,1.0,0,1,2
0,1,2,382,3,0,1.0,0,3,2
1,0,1,383,3,1,0.0,0,1,1
2,0,3,384,1,0,1.0,0,2,3
2,0,0,385,3,1,0.0,0,1,1
1,0,3,386,2,1,0.0,0,1,1
0,0,3,387,3,1,0.0,0,8,4
2,0,1,388,2,0,1.0,0,1,2
1,2,0,389,3,1,0.0,0,1,1
1,1,1,390,2,0,1.0,0,1,2
2,0,3,391,1,1,1.0,1,4,1
1,0,0,392,3,1,1.0,0,1,1
1,0,1,393,3,1,0.0,0,3,1
1,1,3,394,1,0,1.0,1,2,2
1,0,2,395,3,0,1.0,1,3,3
1,0,0,396,3,1,0.0,0,1,1
1,0,0,397,3,0,0.0,0,1,2
2,0,2,398,2,1,0.0,0,1,1
1,0,1,399,2,1,0.0,0,1,5
1,0,1,400,2,0,1.0,0,1,3
2,0,1,401,3,1,1.0,0,1,1
1,0,1,402,3,1,0.0,0,1,1
1,0,1,403,3,0,0.0,0,2,2
1,0,2,404,3,1,0.0,0,2,1
1,0,1,405,3,0,0.0,0,1,2
2,0,2,406,2,1,0.0,0,2,1
3,0,0,407,3,1,0.0,0,1,1
0,0,2,408,2,1,1.0,0,3,4
1,0,0,409,3,1,0.0,0,1,1
1,0,2,410,3,0,0.0,0,5,2
1,0,0,411,3,1,0.0,0,1,1
2,2,0,412,3,1,0.0,0,1,1
2,2,3,413,1,0,1.0,1,2,2
2,0,0,414,2,1,0.0,0,1,1
2,0,1,415,3,1,1.0,0,1,1
2,0,1,416,3,0,0.0,0,1,3
2,0,3,417,2,0,1.0,0,3,3
1,0,1,418,2,0,1.0,0,3,2
1,0,1,419,2,1,0.0,0,1,1
0,0,2,420,3,0,0.0,0,3,2
2,1,0,421,3,1,0.0,0,1,1
1,2,0,422,3,1,0.0,0,1,1
1,0,0,423,3,1,0.0,0,1,1
1,0,1,424,3,0,0.0,0,3,3
1,0,2,425,3,1,0.0,0,3,1
2,0,0,426,3,1,0.0,0,1,1
1,0,2,427,2,0,1.0,0,2,3
1,0,2,428,2,0,1.0,0,1,2
1,2,0,429,3,1,0.0,0,1,1
1,0,1,430,3,1,1.0,1,1,1
1,0,2,431,1,1,1.0,1,1,1
2,0,2,432,3,0,1.0,0,2,3
2,0,2,433,2,0,1.0,0,2,3
1,0,0,434,3,1,0.0,0,1,1
3,0,3,435,1,1,0.0,1,2,1
0,0,3,436,1,0,1.0,1,4,2
1,0,3,437,3,0,0.0,0,5,2
1,0,2,438,2,0,1.0,0,6,3
3,0,3,439,1,1,0.0,1,6,1
1,0,1,440,2,1,0.0,0,1,1
2,0,2,441,2,0,1.0,0,3,3
1,0,1,442,3,1,0.0,0,1,1
1,0,0,443,3,1,0.0,0,2,1
1,0,1,444,2,0,1.0,0,1,2
1,0,1,445,3,1,1.0,0,1,1
0,0,3,446,1,1,1.0,1,3,4
0,0,2,447,2,0,1.0,0,2,2
2,0,2,448,1,1,1.0,0,1,1
0,1,2,449,3,0,1.0,0,4,2
3,0,2,450,1,1,1.0,1,1,5
2,0,2,451,2,1,0.0,0,4,1
1,0,2,452,3,1,0.0,0,2,1
1,1,2,453,1,1,0.0,1,1,1
3,1,3,454,1,1,1.0,1,2,1
1,0,1,455,3,1,0.0,0,1,1
1,1,0,456,3,1,1.0,0,1,1
4,0,2,457,1,1,0.0,1,1,1
2,0,3,458,1,0,1.0,1,2,3
3,0,1,459,2,0,1.0,0,1,2
1,2,0,460,3,1,0.0,0,1,1
2,0,2,461,1,1,1.0,1,1,1
2,0,1,462,3,1,0.0,0,1,1
2,0,3,463,1,1,0.0,1,1,1
2,0,1,464,2,1,0.0,0,1,1
2,0,1,465,3,1,0.0,0,1,1
2,0,0,466,3,1,0.0,0,1,1
1,0,0,467,2,1,0.0,0,1,1
3,0,2,468,1,1,0.0,0,1,1
1,2,0,469,3,1,0.0,0,1,1
0,1,2,470,3,0,1.0,0,4,2
2,0,0,471,3,1,0.0,0,1,1
2,0,1,472,3,1,0.0,0,1,1
2,0,2,473,2,0,1.0,0,4,3
1,1,1,474,2,0,1.0,1,1,3
1,0,1,475,3,0,0.0,0,1,2
1,0,3,476,1,1,0.0,1,1,1
2,0,2,477,2,1,0.0,0,2,1
1,0,0,478,3,1,0.0,0,2,1
1,0,0,479,3,1,0.0,0,1,1
0,0,1,480,3,0,1.0,0,2,2
0,0,3,481,3,1,0.0,0,8,4
2,0,0,482,2,1,0.0,0,1,1
3,0,1,483,3,1,0.0,0,1,1
3,0,1,484,3,0,1.0,0,1,3
1,1,3,485,1,1,1.0,1,2,1
1,0,2,486,3,0,0.0,0,5,2
2,0,3,487,1,0,1.0,1,2,3
3,1,2,488,1,1,0.0,1,1,1
1,0,1,489,3,1,0.0,0,1,1
0,0,2,490,3,1,1.0,0,3,4
2,0,2,491,3,1,0.0,0,2,1
1,0,0,492,3,1,0.0,0,1,1
3,0,2,493,1,1,0.0,1,1,1
4,1,3,494,1,1,0.0,0,1,1
1,0,1,495,3,1,0.0,0,1,1
1,1,2,496,3,1,0.0,0,1,1
3,1,3,497,1,0,1.0,1,2,2
2,0,2,498,3,1,0.0,0,1,1
1,0,3,499,1,0,0.0,1,4,3
1,0,0,500,3,1,0.0,0,1,1
1,0,1,501,3,1,0.0,0,1,1
1,2,0,502,3,0,0.0,0,1,2
2,2,0,503,3,0,0.0,0,1,2
2,0,1,504,3,0,0.0,0,1,2
0,0,3,505,1,0,1.0,1,1,2
1,1,3,506,1,1,0.0,1,2,1
2,0,2,507,2,0,1.0,0,3,3
2,0,2,508,1,1,1.0,0,1,1
1,0,2,509,3,1,0.0,0,1,1
1,0,3,510,3,1,1.0,0,1,1
1,2,0,511,3,1,1.0,0,1,1
1,0,1,512,3,1,0.0,0,1,1
2,0,2,513,1,1,1.0,1,1,1
3,1,3,514,1,0,1.0,0,2,3
1,0,0,515,3,1,0.0,0,1,1
2,0,3,516,1,1,0.0,1,1,1
2,0,1,517,2,0,1.0,1,1,3
2,2,2,518,3,1,0.0,0,1,1
2,0,2,519,2,0,1.0,0,2,3
1,0,0,520,3,1,0.0,0,1,1
1,0,3,521,1,0,1.0,1,1,2
1,0,0,522,3,1,0.0,0,1,1
2,1,0,523,3,1,0.0,0,1,1
2,1,3,524,1,0,1.0,1,2,3
2,1,0,525,3,1,0.0,0,1,1
2,2,0,526,3,1,0.0,0,1,1
3,0,1,527,2,0,1.0,0,1,2
1,0,3,528,1,1,0.0,1,1,1
2,0,1,529,3,1,0.0,0,1,1
1,0,1,530,2,1,0.0,0,4,1
0,0,2,531,2,0,1.0,0,3,2
2,1,0,532,3,1,0.0,0,1,1
1,1,0,533,3,1,0.0,0,3,1
2,1,2,534,3,0,1.0,0,3,3
1,0,1,535,3,0,0.0,0,1,2
0,0,2,536,2,0,1.0,0,3,2
2,0,2,537,1,1,0.0,1,1,5
1,1,3,538,1,0,1.0,0,1,2
1,0,2,539,3,1,0.0,0,1,1
1,1,3,540,1,0,1.0,1,3,2
2,0,3,541,1,0,1.0,1,3,2
0,0,3,542,3,0,0.0,0,7,2
0,0,3,543,3,0,0.0,0,7,2
1,0,2,544,2,1,1.0,0,2,1
3,1,3,545,1,1,0.0,1,2,1
3,0,2,546,1,1,0.0,0,1,1
1,0,2,547,2,0,1.0,0,2,3
2,1,1,548,2,1,1.0,0,1,1
2,0,2,549,3,1,0.0,0,3,1
0,0,3,550,2,1,1.0,0,3,4
1,1,3,551,1,1,1.0,1,3,1
1,0,2,552,2,1,0.0,0,1,1
2,2,0,553,3,1,0.0,0,1,1
1,1,0,554,3,1,1.0,0,1,1
1,0,0,555,3,0,1.0,0,1,2
3,0,2,556,1,1,0.0,0,1,1
2,1,3,557,1,0,1.0,1,2,5
2,1,3,558,1,1,0.0,0,1,1
2,0,3,559,1,0,1.0,1,3,3
2,0,2,560,3,0,1.0,0,2,3
1,2,0,561,3,1,0.0,0,1,1
2,0,0,562,3,1,0.0,0,1,1
1,0,1,563,2,1,0.0,0,1,1
2,0,1,564,3,1,0.0,0,1,1
2,0,1,565,3,0,0.0,0,1,2
1,0,2,566,3,1,0.0,0,3,1
1,0,0,567,3,1,0.0,0,1,1
1,0,2,568,3,0,0.0,0,5,3
1,1,0,569,3,1,0.0,0,1,1
1,0,0,570,3,1,1.0,0,1,1
3,0,1,571,2,1,1.0,0,1,1
3,0,3,572,1,0,1.0,1,3,3
2,0,2,573,1,1,1.0,1,1,1
1,2,0,574,3,0,1.0,0,1,2
0,0,1,575,3,1,0.0,0,1,1
1,0,2,576,3,1,0.0,0,1,1
2,0,1,577,2,0,1.0,0,1,2
2,0,3,578,1,0,1.0,1,2,3
1,1,2,579,3,0,0.0,0,2,3
1,0,1,580,3,1,1.0,0,1,1
1,0,2,581,2,0,1.0,0,3,2
2,1,3,582,1,0,1.0,1,3,3
3,0,2,583,2,1,0.0,0,1,1
2,1,3,584,1,1,0.0,1,1,1
2,1,1,585,3,1,0.0,0,1,1
1,0,3,586,1,0,1.0,1,3,2
2,0,2,587,2,1,0.0,0,1,1
3,1,3,588,1,1,1.0,1,3,1
1,0,1,589,3,1,0.0,0,1,1
0,0,1,590,3,1,0.0,0,1,1
2,0,0,591,3,1,0.0,0,1,1
3,1,3,592,1,0,1.0,1,2,3
2,0,0,593,3,1,0.0,0,1,1
1,2,0,594,3,0,0.0,0,3,2
2,0,2,595,2,1,0.0,0,2,1
2,0,2,596,3,1,0.0,0,3,1
0,0,3,597,2,0,1.0,0,1,2
3,0,0,598,3,1,0.0,0,1,1
1,1,0,599,3,1,0.0,0,1,1
3,1,3,600,1,1,1.0,1,2,5
1,0,2,601,2,0,1.0,0,4,3
2,0,0,602,3,1,0.0,0,1,1
0,0,3,603,1,1,0.0,0,1,1
2,0,1,604,3,1,0.0,0,1,1
2,1,2,605,1,1,1.0,0,1,1
2,0,2,606,3,1,0.0,0,2,1
1,0,0,607,3,1,0.0,0,1,1
1,0,2,608,1,1,1.0,0,1,1
1,1,3,609,2,0,1.0,0,4,3
2,0,3,610,1,0,1.0,1,1,2
2,0,3,611,3,0,0.0,0,7,3
0,0,0,612,3,1,0.0,0,1,1
2,2,2,613,3,0,1.0,0,2,2
1,2,0,614,3,1,0.0,0,1,1
2,0,1,615,3,1,0.0,0,1,1
1,0,3,616,2,0,1.0,0,4,2
2,0,1,617,3,1,0.0,0,3,1
1,0,2,618,3,0,0.0,0,2,3
0,0,3,619,2,0,1.0,1,4,2
1,0,1,620,2,1,0.0,0,1,1
1,1,2,621,3,1,0.0,0,2,1
2,0,3,622,1,1,1.0,1,2,1
1,1,2,623,3,1,1.0,0,3,1
1,0,0,624,3,1,0.0,0,1,1
1,0,2,625,3,1,0.0,0,1,1
3,0,3,626,1,1,0.0,1,1,1
3,2,1,627,2,1,0.0,0,1,5
1,0,3,628,1,0,1.0,1,1,2
1,0,0,629,3,1,0.0,0,1,1
2,2,0,630,3,1,0.0,0,1,1
4,0,2,631,1,1,1.0,1,1,1
